merchant_name,canonical_category,region,contact_phone,contact_email,registration_date,region_pic_email,source_submission_id,duplicates_collapsed
Pusat Anugerah Resources,Grocery & Convenience,Central,032689712,pusatanugera47@biz.test,2026-04-13,aishah.rahman@example-ops.test,B012,
Gerai Cemerlang Resources,Fashion & Apparel,East Coast,095469297,geraicemerla15@biz.test,2026-01-01,nurul.huda@example-ops.test,B047,
Sejahtera Anugerah Enterprise,Food & Beverage,Northern,040624441,sejahteraanu24@biz.test,2026-01-25,weiming.tan@example-ops.test,B021,
Gerai Bahagia & Sons,Grocery & Convenience,Central,032747089,geraibahagia90@biz.test,2026-02-02,aishah.rahman@example-ops.test,B035,
Sinar Fajar & Sons,Home & Living,Sarawak,0828640167,sinarfajarso53@outlook.com,2026-03-04,margaret.anyi@example-ops.test,B046,
Pusat Gemilang Resources,Health & Beauty,East Coast,090484747,pusatgemilan3@gmail.com,2026-01-20,nurul.huda@example-ops.test,B026,
Kedai Impian Sdn Bhd,Fashion & Apparel,Northern,049883114,kedaiimpians23@yahoo.com,2026-01-15,weiming.tan@example-ops.test,B014,
Kedai Cemerlang Enterprise,Food & Beverage,East Coast,097885798,kedaicemerla86@gmail.com,2026-05-07,nurul.huda@example-ops.test,B039,
Kedai Damai Sdn Bhd,Fashion & Apparel,Southern,078768792,kedaidamaisd53@gmail.com,2026-05-03,devraj.pillai@example-ops.test,B052,
The Mutiara Trading,Grocery & Convenience,Sarawak,0820043310,themutiaratr38@yahoo.com,2026-03-04,margaret.anyi@example-ops.test,B054,
Warung Anugerah,Health & Beauty,Sabah,0884006824,warunganuger96@yahoo.com,2026-04-05,jeffrey.lojuki@example-ops.test,B065,submissions_partnerB.csv - B036
The Cemerlang Enterprise,Fashion & Apparel,East Coast,093566734,thecemerlang27@biz.test,2026-03-21,nurul.huda@example-ops.test,B048,
Gerai Anugerah & Sons,Professional Services,Sarawak,0825052580,geraianugera89@outlook.com,2026-03-10,margaret.anyi@example-ops.test,B053,
Harmoni Fajar Holdings,Food & Beverage,Sarawak,0827033736,harmonifajar24@gmail.com,2026-02-21,margaret.anyi@example-ops.test,B028,
Sinar Bahagia,Professional Services,Northern,046987361,sinarbahagia13@outlook.com,2026-02-10,weiming.tan@example-ops.test,B002,submissions_partnerB.csv - B010
Sejahtera Gemilang Resources,Health & Beauty,East Coast,096535011,sejahteragem30@gmail.com,2026-01-14,nurul.huda@example-ops.test,B024,
Syarikat Lestari Sdn Bhd,Health & Beauty,Southern,079039025,syarikatlest91@outlook.com,2026-02-05,devraj.pillai@example-ops.test,B009,
Restoran Jaya & Sons,Professional Services,East Coast,095905229,restoranjaya35@biz.test,2026-01-02,nurul.huda@example-ops.test,B042,submissions_partnerB.csv - B022
Maju Damai Sdn Bhd,Fashion & Apparel,Northern,041711977,majudamaisdn89@outlook.com,2026-04-28,weiming.tan@example-ops.test,B033,
Sejahtera Impian Resources,Food & Beverage,Sabah,0889608092,sejahteraimp54@outlook.com,2026-04-27,jeffrey.lojuki@example-ops.test,B056,
Restoran Fajar & Sons,Professional Services,Northern,045703755,restoranfaja56@outlook.com,2026-02-05,weiming.tan@example-ops.test,B049,
Sejahtera Harapan Holdings,Health & Beauty,Southern,078467062,sejahterahar3@biz.test,2026-02-15,devraj.pillai@example-ops.test,B051,
Maju Fajar,Electronics & Repair,Sabah,0885466374,majufajar23@yahoo.com,2026-04-18,jeffrey.lojuki@example-ops.test,B061,
Harmoni Damai Resources,Electronics & Repair,Northern,042780626,harmonidamai85@gmail.com,2026-05-24,weiming.tan@example-ops.test,B064,
Warung Impian Trading,Health & Beauty,Sarawak,0824474128,warungimpian62@yahoo.com,2026-03-15,margaret.anyi@example-ops.test,B037,"submissions_partnerA.csv - A012
submissions_partnerB.csv - B043"
Harmoni Gemilang Trading,Electronics & Repair,Sarawak,0828484667,harmonigemil26@biz.test,2026-03-18,margaret.anyi@example-ops.test,B013,
Sinar Gemilang,Fashion & Apparel,Northern,043800895,sinargemilan49@gmail.com,2026-04-14,weiming.tan@example-ops.test,C021,
Kedai Damai Resources,Health & Beauty,Sabah,0886431283,kedaidamaire50@gmail.com,2026-05-17,jeffrey.lojuki@example-ops.test,C003,
Harmoni Lestari Enterprise,Food & Beverage,Northern,045405729,harmonilesta21@outlook.com,2026-02-23,weiming.tan@example-ops.test,C024,
The Selera Enterprise,Home & Living,East Coast,092244216,theseleraent56@outlook.com,2026-05-07,nurul.huda@example-ops.test,C052,
Harmoni Gemilang,Electronics & Repair,East Coast,091030216,harmonigemil95@biz.test,2026-04-20,nurul.huda@example-ops.test,C047,
Bestari Jaya & Sons,Food & Beverage,Southern,072330278,bestarijayas75@biz.test,2026-05-07,devraj.pillai@example-ops.test,C060,
Harmoni Anugerah Trading,Health & Beauty,Sabah,0880429000,harmonianuge61@outlook.com,2026-02-21,jeffrey.lojuki@example-ops.test,C029,
Gerai Cemerlang Holdings,Food & Beverage,Northern,040177373,geraicemerla95@biz.test,2026-02-04,weiming.tan@example-ops.test,C055,submissions_partnerC.csv - C048
Harmoni Bahagia Sdn Bhd,Fashion & Apparel,Central,039731731,harmonibahag8@yahoo.com,2026-04-14,aishah.rahman@example-ops.test,C030,
Sinar Fajar Resources,Electronics & Repair,East Coast,099777694,sinarfajarre9@gmail.com,2026-01-20,nurul.huda@example-ops.test,C044,
Syarikat Lestari Trading,Health & Beauty,Northern,042885363,syarikatlest69@outlook.com,2026-05-02,weiming.tan@example-ops.test,C017,
Gerai Impian Trading,Professional Services,Central,037176989,geraiimpiant79@outlook.com,2026-05-24,aishah.rahman@example-ops.test,C054,
Bestari Impian Resources,Fashion & Apparel,Southern,076555654,bestariimpia28@gmail.com,2026-03-28,devraj.pillai@example-ops.test,C011,
Syarikat Selera Holdings,Fashion & Apparel,East Coast,098046895,syarikatsele81@yahoo.com,2026-02-08,nurul.huda@example-ops.test,C018,
Kedai Impian & Sons,Electronics & Repair,Sabah,0884748622,kedaiimpians9@yahoo.com,2026-03-21,jeffrey.lojuki@example-ops.test,C027,
Sinar Anugerah Trading,Health & Beauty,Sarawak,0822011219,sinaranugera12@gmail.com,2026-04-11,margaret.anyi@example-ops.test,C035,
Sejahtera Lestari Enterprise,Professional Services,Northern,040359626,sejahterales40@biz.test,2026-02-28,weiming.tan@example-ops.test,C004,submissions_partnerC.csv - C010
Gerai Harapan,Electronics & Repair,Northern,045385636,geraiharapan64@gmail.com,2026-01-20,weiming.tan@example-ops.test,C026,
Maju Selera Enterprise,Home & Living,Northern,042761831,majuseleraen73@outlook.com,2026-01-18,weiming.tan@example-ops.test,C042,submissions_partnerC.csv - C037
Warung Bahagia Resources,Fashion & Apparel,Northern,043906714,warungbahagi92@outlook.com,2026-02-24,weiming.tan@example-ops.test,C045,
Syarikat Harapan Sdn Bhd,Grocery & Convenience,Northern,044224455,syarikathara35@yahoo.com,2026-04-22,weiming.tan@example-ops.test,C013,
Sinar Bahagia Holdings,Professional Services,Sarawak,0825506858,sinarbahagia59@biz.test,2026-04-06,margaret.anyi@example-ops.test,C022,
Sejahtera Fajar Trading,Health & Beauty,Northern,046587479,sejahterafaj35@gmail.com,2026-05-24,weiming.tan@example-ops.test,C033,
Restoran Cemerlang Holdings,Home & Living,Central,038846251,restoranceme74@outlook.com,2026-01-08,aishah.rahman@example-ops.test,C041,
Restoran Mutiara Holdings,Health & Beauty,East Coast,090764006,restoranmuti72@yahoo.com,2026-04-15,nurul.huda@example-ops.test,C043,
Warung Cemerlang Holdings,Grocery & Convenience,Central,035738555,warungcemerl50@biz.test,2026-03-28,aishah.rahman@example-ops.test,C058,
Warung Cemerlang,Home & Living,Central,038811237,warungcemerl6@biz.test,2026-05-09,aishah.rahman@example-ops.test,C019,
Syarikat Impian Sdn Bhd,Grocery & Convenience,Central,039222755,syarikatimpi29@outlook.com,2026-05-26,aishah.rahman@example-ops.test,C059,
Gerai Selera Enterprise,Home & Living,Sabah,0887687530,geraiselerae49@outlook.com,2026-01-16,jeffrey.lojuki@example-ops.test,C056,
Warung Kasih Trading,Fashion & Apparel,Sabah,0882194478,warungkasiht50@outlook.com,2026-03-04,jeffrey.lojuki@example-ops.test,C046,
Harmoni Selera,Fashion & Apparel,Southern,075521589,harmoniseler16@yahoo.com,2026-04-08,devraj.pillai@example-ops.test,C012,
Bestari Gemilang Enterprise,Food & Beverage,East Coast,090541417,bestarigemil31@yahoo.com,2026-02-18,nurul.huda@example-ops.test,C053,
Maju Gemilang Sdn Bhd,Health & Beauty,Sabah,0881533312,majugemilang54@gmail.com,2026-01-07,jeffrey.lojuki@example-ops.test,C005,
Gerai Impian Enterprise,Food & Beverage,Sabah,0889031298,geraiimpiane98@gmail.com,2026-02-24,jeffrey.lojuki@example-ops.test,C008,submissions_partnerC.csv - C007
Gerai Emas & Sons,Home & Living,Southern,074781139,geraiemasson51@biz.test,2026-03-21,devraj.pillai@example-ops.test,A037,
Gerai Cemerlang Enterprise,Food & Beverage,East Coast,091399311,geraicemerla81@gmail.com,2026-04-15,nurul.huda@example-ops.test,A051,
Gerai Kasih,Fashion & Apparel,East Coast,093430259,geraikasih59@gmail.com,2026-02-26,nurul.huda@example-ops.test,A010,submissions_partnerA.csv - A045
The Harapan & Sons,Professional Services,Northern,041309599,theharapanso39@biz.test,2026-04-21,weiming.tan@example-ops.test,A035,
Warung Lestari & Sons,Health & Beauty,Sabah,0882907413,warunglestar71@biz.test,2026-04-14,jeffrey.lojuki@example-ops.test,A064,
Gerai Bahagia,Home & Living,Sabah,0889742105,geraibahagia30@biz.test,2026-02-13,jeffrey.lojuki@example-ops.test,A026,submissions_partnerA.csv - A054
Sinar Selera & Sons,Home & Living,Sabah,0881985722,sinarseleras95@gmail.com,2026-05-04,jeffrey.lojuki@example-ops.test,A057,
Harmoni Harapan Holdings,Fashion & Apparel,Sabah,0889393238,harmoniharap19@yahoo.com,2026-02-05,jeffrey.lojuki@example-ops.test,A032,
Kedai Selera Resources,Professional Services,Central,037306537,kedaiselerar87@outlook.com,2026-04-28,aishah.rahman@example-ops.test,A063,
Bestari Impian Enterprise,Food & Beverage,Sabah,0889380153,bestariimpia65@outlook.com,2026-02-10,jeffrey.lojuki@example-ops.test,A042,
Sejahtera Fajar Holdings,Home & Living,Central,036394337,sejahterafaj25@yahoo.com,2026-01-15,aishah.rahman@example-ops.test,A009,
Sinar Lestari Trading,Food & Beverage,Southern,079050865,sinarlestari67@gmail.com,2026-05-07,devraj.pillai@example-ops.test,A044,
Pusat Selera Trading,Electronics & Repair,Southern,072831105,pusatselerat13@outlook.com,2026-05-11,devraj.pillai@example-ops.test,A040,
Warung Selera Resources,Home & Living,Southern,075270060,warungselera96@outlook.com,2026-03-19,devraj.pillai@example-ops.test,A061,
The Harapan Sdn Bhd,Food & Beverage,Central,033491690,theharapansd70@biz.test,2026-05-26,aishah.rahman@example-ops.test,A019,
Restoran Impian Trading,Health & Beauty,Sarawak,0829382932,restoranimpi30@outlook.com,2026-03-01,margaret.anyi@example-ops.test,A006,
Syarikat Mutiara Sdn Bhd,Health & Beauty,Sabah,0882557461,syarikatmuti42@outlook.com,2026-01-19,jeffrey.lojuki@example-ops.test,A048,
Syarikat Mutiara Enterprise,Electronics & Repair,East Coast,092433024,syarikatmuti88@yahoo.com,2026-02-17,nurul.huda@example-ops.test,A029,
Kedai Kasih Holdings,Fashion & Apparel,Central,038874169,kedaikasihho53@gmail.com,2026-01-07,aishah.rahman@example-ops.test,A034,submissions_partnerA.csv - A065
Pusat Bahagia & Sons,Electronics & Repair,Southern,078677415,pusatbahagia55@gmail.com,2026-05-14,devraj.pillai@example-ops.test,A049,
Harmoni Jaya Enterprise,Fashion & Apparel,East Coast,098654304,harmonijayae15@outlook.com,2026-02-09,nurul.huda@example-ops.test,A016,
Sinar Harapan Trading,Health & Beauty,East Coast,097683051,sinarharapan18@gmail.com,2026-02-10,nurul.huda@example-ops.test,A024,submissions_partnerA.csv - A025
Sinar Damai Trading,Grocery & Convenience,Central,034018582,sinardamaitr31@biz.test,2026-02-12,aishah.rahman@example-ops.test,A067,
Sejahtera Bahagia Resources,Home & Living,Northern,041920802,sejahterabah35@yahoo.com,2026-01-19,weiming.tan@example-ops.test,A021,
Maju Lestari Sdn Bhd,Grocery & Convenience,Northern,046494486,majulestaris38@yahoo.com,2026-02-07,weiming.tan@example-ops.test,A056,
Harmoni Selera Enterprise,Health & Beauty,Sarawak,0824463960,harmoniseler40@yahoo.com,2026-04-26,margaret.anyi@example-ops.test,A053,
Bestari Kasih,Food & Beverage,Sabah,0887526770,bestarikasih2@gmail.com,2026-04-08,jeffrey.lojuki@example-ops.test,A027,submissions_partnerC.csv - C015
Sejahtera Bahagia Trading,Fashion & Apparel,Southern,070956273,sejahterabah66@outlook.com,2026-03-09,devraj.pillai@example-ops.test,A013,submissions_partnerA.csv - A001
Gerai Anugerah Trading,Grocery & Convenience,Southern,072759761,geraianugera43@outlook.com,2026-01-11,devraj.pillai@example-ops.test,A030,"submissions_partnerA.csv - A011
submissions_partnerA.csv - A007"
Bestari Bahagia Sdn Bhd,Grocery & Convenience,Sabah,0883257725,bestaribahag18@gmail.com,2026-02-01,jeffrey.lojuki@example-ops.test,A038,
Kedai Emas & Sons,Electronics & Repair,East Coast,092191421,kedaiemasson85@gmail.com,2026-01-10,nurul.huda@example-ops.test,A041,
Maju Jaya Trading,Electronics & Repair,Southern,077278937,majujayatrad20@yahoo.com,2026-02-19,devraj.pillai@example-ops.test,A031,submissions_partnerA.csv - A018
Maju Mutiara,Health & Beauty,Northern,049579056,majumutiara70@gmail.com,2026-03-01,weiming.tan@example-ops.test,A043,
Maju Cemerlang Trading,Food & Beverage,East Coast,095423001,majucemerlan1@outlook.com,2026-02-26,nurul.huda@example-ops.test,A055,
Kedai Anugerah Holdings,Electronics & Repair,Sarawak,0821725355,kedaianugera66@yahoo.com,2026-02-03,margaret.anyi@example-ops.test,A023,
The Selera Sdn Bhd,Health & Beauty,Sabah,0889912118,theselerasdn87@yahoo.com,2026-01-27,jeffrey.lojuki@example-ops.test,A017,submissions_partnerA.csv - A028
Pusat Jaya,Grocery & Convenience,Southern,070287033,pusatjaya73@gmail.com,2026-02-26,devraj.pillai@example-ops.test,A008,
